track_id,num_frames,distance_m,avg_speed_kmh,peak_speed_kmh
14,370,53.98,7.19,23.4
13,380,46.77,7.61,17.28
8,380,42.2,7.29,16.77
9,380,41.98,8.09,17.47
11,380,41.96,6.38,18.41
10,380,38.68,6.99,17.01
7,380,36.59,6.79,13.47
6,380,35.16,6.64,11.48
12,380,33.81,5.2,13.64
15,380,33.8,5.76,17.06
17,380,33.56,5.9,22.13
18,380,31.32,5.03,13.46
20,226,25.89,7.02,14.12
3,347,25.14,4.93,14.26
22,113,22.33,10.36,18.11
21,196,21.74,6.77,14.12
23,101,18.49,10.63,19.87
5,200,14.54,3.8,19.84
19,176,11.77,1.01,4.32
4,206,11.57,3.54,17.34
2,197,9.11,2.78,18.33
1,176,8.74,1.99,5.24
24,69,8.68,4.3,8.28
16,141,5.4,1.47,2.07
